sku_id,sku_name,current_stock,predicted_stockout_days,avg_lead_time,traceability_coverage,last_batch,origin,latest_location,flag_status,forecast_7d,forecast_30d,forecast_90d
SKU-000123,Paracetamol 500mg,240,7,6.2,98%,BATCH-XY-2025-09A,Factory A,Warehouse Z,OK,250,720,2160
SKU-000124,Ibuprofen 400mg,180,4,5.8,95%,BATCH-XY-2025-09B,Factory B,Warehouse Y,LOW_STOCK,200,580,1740
SKU-000125,Aspirin 100mg,320,12,7.1,99%,BATCH-XY-2025-09C,Factory A,Warehouse X,OK,280,840,2520
SKU-000126,Amoxicillin 250mg,150,3,6.5,97%,BATCH-XY-2025-09D,Factory C,Warehouse W,LOW_STOCK,180,540,1620
SKU-000127,Metformin 500mg,280,9,5.9,96%,BATCH-XY-2025-09E,Factory A,Warehouse V,OK,300,900,2700
SKU-000128,Omeprazole 20mg,200,6,6.8,98%,BATCH-XY-2025-09F,Factory B,Warehouse U,OK,220,660,1980
SKU-000129,Simvastatin 20mg,160,5,7.2,94%,BATCH-XY-2025-09G,Factory D,Warehouse T,LOW_STOCK,190,570,1710
SKU-000130,Lisinopril 10mg,220,8,6.1,99%,BATCH-XY-2025-09H,Factory A,Warehouse S,OK,240,720,2160
SKU-000131,Atorvastatin 40mg,190,4,6.9,97%,BATCH-XY-2025-09I,Factory C,Warehouse R,LOW_STOCK,210,630,1890
SKU-000132,Losartan 50mg,250,10,6.3,98%,BATCH-XY-2025-09J,Factory B,Warehouse Q,OK,270,810,2430
SKU-000133,Metoprolol 50mg,170,5,6.7,95%,BATCH-XY-2025-09K,Factory A,Warehouse P,LOW_STOCK,200,600,1800
SKU-000134,Amlodipine 5mg,300,11,6.4,99%,BATCH-XY-2025-09L,Factory D,Warehouse O,OK,320,960,2880
SKU-000135,Furosemide 40mg,140,3,7.0,96%,BATCH-XY-2025-09M,Factory C,Warehouse N,LOW_STOCK,170,510,1530
SKU-000136,Hydrochlorothiazide 25mg,230,7,6.6,98%,BATCH-XY-2025-09N,Factory B,Warehouse M,OK,250,750,2250
SKU-000137,Prednisone 5mg,180,6,6.8,97%,BATCH-XY-2025-09O,Factory A,Warehouse L,OK,200,600,1800
SKU-000138,Warfarin 5mg,120,2,7.5,93%,BATCH-XY-2025-09P,Factory D,Warehouse K,LOW_STOCK,150,450,1350
SKU-000139,Digoxin 0.25mg,160,4,6.2,96%,BATCH-XY-2025-09Q,Factory C,Warehouse J,LOW_STOCK,180,540,1620
SKU-000140,Levothyroxine 50mcg,290,9,6.1,99%,BATCH-XY-2025-09R,Factory B,Warehouse I,OK,310,930,2790
SKU-000141,Albuterol 90mcg,210,5,6.9,97%,BATCH-XY-2025-09S,Factory A,Warehouse H,OK,230,690,2070
SKU-000142,Fluticasone 50mcg,170,4,6.7,95%,BATCH-XY-2025-09T,Factory D,Warehouse G,LOW_STOCK,190,570,1710
SKU-000143,Montelukast 10mg,240,8,6.3,98%,BATCH-XY-2025-09U,Factory C,Warehouse F,OK,260,780,2340
SKU-000144,Cetirizine 10mg,200,6,6.5,96%,BATCH-XY-2025-09V,Factory B,Warehouse E,OK,220,660,1980
SKU-000145,Loratadine 10mg,180,5,6.8,97%,BATCH-XY-2025-09W,Factory A,Warehouse D,OK,200,600,1800
SKU-000146,Diphenhydramine 25mg,150,3,7.1,94%,BATCH-XY-2025-09X,Factory D,Warehouse C,LOW_STOCK,170,510,1530
SKU-000147,Ranitidine 150mg,130,2,7.3,92%,BATCH-XY-2025-09Y,Factory C,Warehouse B,LOW_STOCK,150,450,1350
SKU-000148,Famotidine 20mg,190,4,6.6,96%,BATCH-XY-2025-09Z,Factory B,Warehouse A,LOW_STOCK,210,630,1890
SKU-000149,Esomeprazole 40mg,250,9,6.4,98%,BATCH-XY-2025-10A,Factory A,Warehouse Z,OK,270,810,2430
SKU-000150,Pantoprazole 40mg,220,7,6.7,97%,BATCH-XY-2025-10B,Factory D,Warehouse Y,OK,240,720,2160
SKU-000151,Rabeprazole 20mg,160,4,6.9,95%,BATCH-XY-2025-10C,Factory C,Warehouse X,LOW_STOCK,180,540,1620
SKU-000152,Lansoprazole 30mg,200,6,6.5,96%,BATCH-XY-2025-10D,Factory B,Warehouse W,OK,220,660,1980
SKU-000153,Dexlansoprazole 60mg,140,3,7.2,93%,BATCH-XY-2025-10E,Factory A,Warehouse V,LOW_STOCK,160,480,1440
SKU-000154,Clopidogrel 75mg,280,10,6.1,99%,BATCH-XY-2025-10F,Factory D,Warehouse U,OK,300,900,2700
